Date,Open,High,Low,Close,Adj Close,Volume
08-Sep-22,2649,2659.9,2616,2629,2626.7,1987456396
09-Sep-22,2652,2652.15,2593,2600.8,2603.45,2031220521
12-Sep-22,2616.8,2669.7,2610,2668,2661.15,2138675818
13-Sep-22,2680,2723,2672,2703,2705.55,4158926371
14-Sep-22,2645,2712,2645,2703,2700.6,2468455405
15-Sep-22,2714.15,2717,2648,2662,2656.15,2013925273
16-Sep-22,2648,2677.65,2604.25,2618,2611.8,3747185879
19-Sep-22,2611.75,2632,2552.55,2627.8,2619.8,2102125442
20-Sep-22,2642.2,2693.55,2635.1,2680,2684,2262826510
21-Sep-22,2688,2700,2656.65,2665.75,2666.65,2817063874
22-Sep-22,2660,2744.95,2650,2741,2737.6,3654758910
23-Sep-22,2737.6,2755.7,2667,2681.8,2672.45,3319442745
26-Sep-22,2666,2677.95,2563.55,2654,2655.5,3611060827
27-Sep-22,2669.95,2679.55,2585.55,2604.9,2600.35,3265224760
28-Sep-22,2587.5,2634.5,2564.5,2571.95,2576.95,3678767434
29-Sep-22,2594.85,2606.05,2517.35,2538,2531.5,3001724451
30-Sep-22,2538,2637.4,2522.6,2605.5,2606.95,3766321230
03-Oct-22,2625,2625,2555.6,2577.3,2574.2,2706942960
04-Oct-22,2629,2629,2571.65,2579,2585.1,3343967110
06-Oct-22,2598.05,2620,2581.6,2588,2592.85,3668138280
07-Oct-22,2690,2745,2675,2730.2,2730.5,14380608250
10-Oct-22,2710,2727.9,2658,2683.95,2680.1,3483346218
11-Oct-22,2693,2694,2616.4,2621,2624.5,2821208990
12-Oct-22,2630,2644.9,2606,2619,2621.35,2968744543
13-Oct-22,2610,2628,2591,2598,2598.65,2704655438
14-Oct-22,2640,2663.6,2607.75,2619.85,2617.8,3501527733
17-Oct-22,2613.9,2634.9,2602.55,2624.8,2625,2914802446
18-Oct-22,2638.15,2664.7,2623.15,2642,2641.1,2039477767
19-Oct-22,2654.35,2677,2640,2648,2644.55,2663964218
20-Oct-22,2640,2644,2581.35,2633,2631.5,2672209506
21-Oct-22,2650,2679.65,2640.05,2670.65,2665.65,2630411601
24-Oct-22,2697,2699.9,2679.15,2682,2683.9,496055391.3
25-Oct-22,2697.35,2697.35,2662,2669.55,2670.3,1352434594
27-Oct-22,2700,2765,2680,2706,2703.8,5761942289
28-Oct-22,2708.95,2738.9,2693.25,2733,2736.4,2731421674
31-Oct-22,2750,2791,2738.25,2765,2761.5,3160496134
01-Nov-22,2770.15,2784,2741,2755,2754.95,2453544062
02-Nov-22,2745,2747.35,2703,2734,2728.45,4644216430
03-Nov-22,2705,2779,2705,2766.6,2763.65,3380701836
04-Nov-22,2774.9,2781.45,2746.6,2770,2769.7,3234432965
07-Nov-22,2772,2772,2706.3,2735,2741.55,4991687717
09-Nov-22,2769,2769,2710,2710.35,2718.1,3232540242
10-Nov-22,2710,2711.1,2628,2647.5,2641,3179847416
11-Nov-22,2671,2694.4,2641.55,2656,2651.8,2222679757
14-Nov-22,2658,2665,2623.2,2630,2629.8,1490774742
15-Nov-22,2642.95,2669.15,2621.05,2658.45,2656.65,2739369342
16-Nov-22,2659,2678.2,2630,2645,2644.3,2211207464
17-Nov-22,2638,2645,2576,2583.95,2582,3281002988
18-Nov-22,2580,2583.4,2545,2572.95,2565.8,2659708145
21-Nov-22,2552,2578.95,2539.65,2572,2573.35,1610667512
22-Nov-22,2580,2609,2561,2607.5,2606.2,2366678029
23-Nov-22,2614.95,2632.5,2590.8,2591.6,2601.75,2598516281
24-Nov-22,2611,2618.3,2592.5,2613.85,2610.2,1959114455
25-Nov-22,2620,2620,2586,2591.25,2595.4,1643688452
28-Nov-22,2584.4,2608.5,2579,2592,2592.25,1727080240
29-Nov-22,2597.15,2640,2595.05,2612,2613.75,2272030538
30-Nov-22,2613.75,2665,2604.2,2657.25,2653,4146488239
01-Dec-22,2662,2665,2630,2636.95,2638.7,1426752820
02-Dec-22,2648,2651.4,2605,2618,2617.9,1914562013
05-Dec-22,2629,2629.95,2589.25,2614.8,2615.65,1948360015
06-Dec-22,2619.8,2624,2591.3,2611.1,2617,1840079251
07-Dec-22,2616.3,2623.75,2586.7,2594.5,2596.85,1854619364
08-Dec-22,2596.85,2613.9,2578.75,2581.95,2583.5,1680628428
09-Dec-22,2597,2629.9,2567.95,2609.25,2615.45,2428437037
12-Dec-22,2613.5,2613.5,2571,2584.9,2584.65,1877403541
13-Dec-22,2597.4,2600,2565,2572.4,2575.9,2144767349
14-Dec-22,2574.85,2596,2571.15,2592,2591.1,1986763144
15-Dec-22,2585,2588.65,2514.55,2520.5,2522.7,3118197322
16-Dec-22,2500,2520,2480,2485,2482.85,2938626055
19-Dec-22,2483.2,2525.25,2468.7,2520.25,2521.8,1431332715
20-Dec-22,2516.8,2517.6,2482.1,2511.2,2508.15,1494112883
21-Dec-22,2515,2528,2481,2490,2489.6,1298237549
22-Dec-22,2491.8,2509.2,2465,2480.25,2483,1384230242
23-Dec-22,2467.65,2505,2455,2488,2483.05,3254725804
26-Dec-22,2487.75,2512.4,2470.25,2489.95,2481.1,2686093374
27-Dec-22,2498,2519.9,2485.6,2502.9,2503.55,1981957666
28-Dec-22,2502.8,2596,2497.5,2575,2580.15,6282656899
29-Dec-22,2555,2588.85,2542.2,2553.05,2553.25,4046650782
30-Dec-22,2564,2610,2553.05,2595.05,2597.5,2740688136
02-Jan-23,2607,2616,2556.8,2565.35,2565.75,1799962334
03-Jan-23,2568,2619,2555.05,2618.8,2613.6,2207855165
04-Jan-23,2618.8,2626.25,2585.6,2592,2597.55,2163576009
05-Jan-23,2591,2620,2543.65,2565.2,2562.1,3975496531
06-Jan-23,2560,2584.4,2517,2537,2538.1,2232792969
09-Jan-23,2529.95,2529.95,2467.8,2489.95,2484.65,5785572657
10-Jan-23,2495,2498.7,2456,2464.5,2468.2,2348082026
11-Jan-23,2473,2488.6,2431,2434.95,2437.4,2453831164
12-Jan-23,2450,2475,2432,2445,2446.6,2141772012
13-Jan-23,2456.9,2456.9,2400,2420,2417.2,3425182190
16-Jan-23,2428,2434.8,2392,2401.25,2405.85,1772467938
17-Jan-23,2405,2417.9,2386,2409.95,2407.95,2224336330
18-Jan-23,2418,2429.85,2412.8,2424.4,2424.1,1456075594
19-Jan-23,2392.5,2411.8,2367.2,2386,2385.05,2667832481
20-Jan-23,2389.95,2396.95,2353,2374,2371.3,2917843629
23-Jan-23,2383.95,2384.3,2355.6,2358.65,2364.7,2205702736
24-Jan-23,2372.5,2390.6,2364,2370,2370.75,1698100471
25-Jan-23,2370,2370,2333.55,2370,2356.6,1530160774
27-Jan-23,2368.4,2368.4,2302.6,2332,2331.25,2881580876
30-Jan-23,2332,2342.85,2287.05,2340,2335.55,3246381011
31-Jan-23,2347,2386.45,2335.65,2383,2377.15,2966030261
01-Feb-23,2408.55,2409.8,2300.05,2345,2345.9,3595890169
02-Feb-23,2341.05,2385,2269.6,2325,2308.1,4178441161
03-Feb-23,2320.1,2470,2320.1,2458.3,2463.1,8958363286
06-Feb-23,2474.85,2479.95,2447.6,2456.3,2458,2582897642
07-Feb-23,2456.3,2459.75,2432.1,2449.05,2446.9,1376846503
08-Feb-23,2447,2480,2447,2463.55,2466.75,1330286215
09-Feb-23,2467,2475.65,2451.6,2465.5,2462.55,1145178445
10-Feb-23,2452,2472,2442.05,2470.5,2468.5,1468479559
13-Feb-23,2480,2523.95,2476.15,2519.75,2519.05,4663906619
14-Feb-23,2528.95,2528.95,2480,2507.05,2506.9,2111630051
15-Feb-23,2503.45,2528.25,2483.3,2527,2524.3,1776994430
16-Feb-23,2530,2545.65,2518.1,2521,2522.4,1785297204
17-Feb-23,2515,2545.85,2496,2500,2500.3,1527285030
20-Feb-23,2500,2507.25,2466.3,2478,2474.15,1143294476
21-Feb-23,2485.95,2485.95,2450.5,2466,2463.6,1847250224
22-Feb-23,2451.95,2462.8,2414.4,2429.95,2431.55,2671366573
23-Feb-23,2432.5,2432.5,2380,2392,2394.5,3847716961
24-Feb-23,2400,2413.75,2377.95,2397.05,2399.1,2738733983
27-Feb-23,2399.1,2412,2373.6,2402.6,2401,2064830020
28-Feb-23,2401.1,2425,2363.6,2370,2372.8,3422412965
01-Mar-23,2370,2396.05,2366.35,2383.5,2382.4,1144193522
02-Mar-23,2382.35,2394.3,2351.75,2360,2358.95,1252643414
03-Mar-23,2370,2402,2358.3,2400,2396.1,1698868273
06-Mar-23,2412.55,2426.4,2392.6,2403.4,2403.45,1643170183
08-Mar-23,2396.4,2401.2,2372.25,2397,2397.1,2048173197
09-Mar-23,2400.8,2407.95,2365,2365,2368.25,1430692247
10-Mar-23,2354.85,2379.95,2338,2376.55,2375.5,1280961342
13-Mar-23,2372.75,2376.95,2321,2339.95,2332,1481067191
14-Mar-23,2336.95,2391.85,2328.85,2361,2355.6,3469318325
15-Mar-23,2380,2413.85,2379.95,2400,2399.1,3972587503
16-Mar-23,2413.5,2482,2413,2450,2450.35,5689647996
17-Mar-23,2467.15,2474,2447.4,2460,2455.65,3999675317
20-Mar-23,2462,2474.95,2441.55,2457,2459.95,2256691322
21-Mar-23,2475,2521.55,2468.05,2507,2514.05,4141432115
22-Mar-23,2517.95,2524,2495,2510,2508.15,1893686980
23-Mar-23,2510,2528,2494.05,2516.8,2519.05,1533593572
24-Mar-23,2516.8,2519.7,2474.95,2485,2493.35,2090927272
27-Mar-23,2480,2510,2466.8,2494.9,2494.4,1819322040
28-Mar-23,2502.9,2507.15,2493.9,2500,2500.3,1498321461
29-Mar-23,2500.3,2525,2494,2521.55,2515.05,1783698996
31-Mar-23,2526.95,2536.75,2500,2514.9,2514.9,2133166996
03-Apr-23,2525.9,2544.65,2513.3,2536,2537.4,1779078932
05-Apr-23,2560,2581.5,2550.1,2572,2572.7,3698138205
06-Apr-23,2583,2584,2545,2548,2548.45,3048905696
10-Apr-23,2568,2602,2561.05,2578,2583.7,3867165552
11-Apr-23,2583.7,2603.5,2576,2577.1,2580.05,2126116628
12-Apr-23,2580.05,2593.45,2564.15,2588,2587.9,1427844312
13-Apr-23,2588,2599.95,2577.3,2580,2585.65,1246844448
17-Apr-23,2600,2612.25,2582.3,2607.05,2605.6,2716711379
18-Apr-23,2603.05,2607.65,2560.1,2575,2577.7,1738730711
19-Apr-23,2580.05,2595.95,2562,2566.05,2569.3,1768555802
20-Apr-23,2577.65,2619,2570.5,2575.35,2579.25,2585654717
21-Apr-23,2593.6,2594.55,2559.25,2573,2568.3,1055865030
24-Apr-23,2571.1,2636.4,2570,2625,2629.55,2677622024
25-Apr-23,2634.85,2637,2614.95,2631,2633.2,1657147815
26-Apr-23,2633,2647.65,2625.65,2635.9,2641,1666421002
27-Apr-23,2641,2674,2631.5,2660.4,2663.45,1642681811
28-Apr-23,2672.45,2679.3,2619.5,2637,2641.85,4141692192
02-May-23,2657,2674,2633.4,2664.95,2663.85,1928084581
03-May-23,2675,2679.5,2643.1,2651,2654.05,2149787906
04-May-23,2679.7,2694.25,2656.55,2666.2,2670.4,5178293525
05-May-23,2670.6,2766,2666.3,2732,2732.9,5977559106
